t,plant,axis,metamer,organ,sucrose,temperature,proteins,amino_acids,day,light,leaf_pseudo_age
94,1,MS,5,hiddenzone,0.18638228,8,0.24394337,0.01896097,4,day,111023.122
95,1,MS,3,hiddenzone,6.71510107,8,9.5205565,0.68515885,4,night,1720650.797
95,1,MS,4,hiddenzone,3.54002228,8,5.71897964,0.36120318,4,night,907650.7967
95,1,MS,5,hiddenzone,0.18634444,8,0.24441605,0.0190134,4,night,111572.7315
96,1,MS,3,hiddenzone,7.19321779,8,9.53696959,0.69308033,5,night,1721235.597
96,1,MS,4,hiddenzone,3.78765516,8,5.72700673,0.36541236,5,night,908235.5972
96,1,MS,5,hiddenzone,0.19980356,8,0.24489104,0.01927674,5,night,112157.532
97,1,MS,3,hiddenzone,7.82906775,8,9.55344545,0.7027512,5,night,1721955.44
97,1,MS,4,hiddenzone,4.12472044,8,5.73507268,0.37066401,5,night,908955.4398
97,1,MS,5,hiddenzone,0.2181715,8,0.24536991,0.01960632,5,night,112877.3745
98,1,MS,3,hiddenzone,8.56903487,8,9.56999386,0.713458,5,night,1722792.586
98,1,MS,4,hiddenzone,4.51717545,8,5.74318347,0.37648738,5,night,909792.5857
98,1,MS,5,hiddenzone,0.23967828,8,0.24585329,0.0199767,5,night,113714.5205
99,1,MS,3,hiddenzone,9.34709278,8,9.58662034,0.72434869,5,night,1723704.978
99,1,MS,4,hiddenzone,4.93015728,8,5.75134255,0.38242549,5,night,910704.9776
99,1,MS,5,hiddenzone,0.26248553,8,0.24634161,0.02036117,5,night,114626.9123
